인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,경도,위도,상태
20180405,영업,0,서울특별시 중구 만리동2가 10-1번지 서울역한라비발디센트럴 단지내상가 1층 8호 ,서울특별시 중구 만리재로 177 서울역한라비발디센트럴 단지내상가 1층 8호 (만리동2가),CU 서울역한라비발디점,편의점,126.9662988,37.55502063,인근좌표
19930706,영업,0,서울특별시 중구 을지로1가 56-0번지 ,0,컨츄리아이스크림,편의점,126.9796649,37.56620781,인근좌표
19960910,영업,0,서울특별시 중구 명동2가 103-0번지 ,0,(주)해마로파파이스명동,편의점,126.9818993,37.56226494,인근좌표
20160518,영업,0,서울특별시 중구 을지로2가 88-5번지 1층 ,서울특별시 중구 삼일대로 358 1층 (을지로2가),스타벅스 을지로2가점,편의점,126.989325,37.56647626,인근좌표
19960408,영업,0,서울특별시 중구 남산동1가 4-0번지 ,0,세븐일레븐명동역점,편의점,126.9854248,37.56053865,인근좌표
20181029,영업,0,서울특별시 중구 저동1가 48번지 대신파이낸스센터 3층 ,서울특별시 중구 삼일대로 343 대신파이낸스센터 3층 (저동1가),씨유 대신파이낸스센터점,편의점,126.9874412,37.56512546,인근좌표
20121204,영업,0,서울특별시 중구 을지로1가 56번지 시청광장 지하도상가 110호 ,서울특별시 중구 을지로 지하 12 (을지로1가 시청광장 지하도상가 110호),달큰커피,편의점,126.9796649,37.56620781,인근좌표
20120803,영업,0,서울특별시 중구 남창동 46번지 지하철4호선 회현역 지하1층 ,0,마노핀회현역(위드미),편의점,126.9784721,37.5597863,인근좌표
19850902,영업,0,서울특별시 중구 만리동2가 52-5번지 ,0,아메리칸미니도너츠,편의점,126.9663127,37.55436137,인근좌표
20071129,영업,0,서울특별시 중구 충무로1가 52-20번지 신세계백화점본점 식품관(지하1층) ,0,모이또피자,편의점,126.9807446,37.56086873,인근좌표
20151203,폐업,20200120,서울특별시 중구 황학동 1245번지 1층 ,서울특별시 중구 마장로 89 (황학동 1층),파워유통 세븐일레븐,편의점,127.0195721,37.5682727,인근좌표
