년,상세영업상태명,학교종류,학교명,주소,경도,위도,구,행정동
2020,폐업,어린이집,예지 어린이집,서울특별시 성동구 마장동 565 지상1층,127.035358981397,37.5669161221182,성동구,마장동
2020,영업,어린이집,구립한울어린이집,서울특별시 동작구 신대방동 344-281번지 구립한울어린이집 ,126.926346346376,37.4943207606589,동작구,신대방2동
2020,영업,어린이집,은가람어린이집,서울특별시 구로구 신도림동 324-4번지 신도림생활체육관 1층 ,126.88326523416201,37.5137346845003,구로구,신도림동
2020,영업,어린이집,오주어린이집,서울특별시 송파구 오금동 70-14번지 ,127.134708099152,37.5036737405039,송파구,오금동
2020,영업,어린이집,자빈어린이집,서울특별시 강동구 명일동 305-23,127.143341664575,37.5541020117059,강동구,명일1동
2020,영업,어린이집,구립메꽃어린이집,서울특별시 동대문구 장안동 333-1번지 1층 ,127.076036840704,37.5717627168249,동대문구,장안1동
2020,영업,어린이집,구립햇살어린이집,서울특별시 동대문구 용두동 696-9번지 1층 ,127.036908906015,37.57280668781571,동대문구,용신동
2020,영업,어린이집,평화어린이집,서울특별시 관악구 신림동 522-5번지 ,126.913863604487,37.48381501173722,관악구,조원동
2020,영업,어린이집,바이시클(주),서울특별시 용산구 한남동 60-61 1층,127.011287754167,37.5382228987083,용산구,한남동
2020,영업,어린이집,중앙삐아제어린이집,서울특별시 동대문구 이문동 217-1번지 2층 ,127.06679032470899,37.6040155900876,동대문구,이문2동
2020,폐업,어린이집,주찬양어린이집,서울특별시 마포구 매봉산로 8 (상암동 월드컵파크아파트 3단지 관리동 1층),126.889946399412,37.5741745775104,마포구,상암동
2020,영업,유치원,중앙대학교 사범대학 부속유치원,서울특별시 동작구 흑석동 211-32번지 ,126.95561765972401,37.5065464360448,동작구,흑석동
2020,영업,어린이집,성북구청직장어린이집,서울특별시 성북구 삼선동5가 411번지 ,127.016803235798,37.5894392533529,성북구,삼선동
2020,영업,어린이집,강동무지개어린이집,서울특별시 강동구 천호동 43-22 강동무지개어린이집,127.14063938793899,37.544600739808295,강동구,천호1동
2020,영업,어린이집,바름이어린이집,서울특별시 서초구 서초동 1706-4번지 1층 ,127.00891764985501,37.494163134138496,서초구,서초3동
2020,영업,어린이집,신사1 어린이집,서울특별시 은평구 은평로3가길 16 (신사동),126.91319056897801,37.5992617250774,은평구,신사1동
2020,영업,어린이집,구립예본몬테소리어린이집,서울특별시 금천구 시흥동 219-3번지 ,126.91137793944701,37.4529679505597,금천구,시흥5동
