인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20120911,영업,0,서울특별시 중구 흥인동 158-9번지 1층 ,서울특별시 중구 다산로47길 28 1층 (흥인동),북해빙수,제과제빵,127.01448961228998,37.5666920763717,중구,신당동,중구 신당동
20100518,영업,0,서울특별시 중구 다동 33번지 지상1층 ,서울특별시 중구 청계천로 30 (다동지상1층),투썸플레이스예금보험공사점,제과제빵,126.980752525181,37.5685240219648,중구,명동,중구 명동
20121121,영업,0,서울특별시 중구 태평로1가 62-4번지 ,서울특별시 중구 세종대로21길 52 1층 (태평로1가),카페 앤 키오스크(Cafe N Kiosk),제과제빵,126.97612591691299,37.568727973318,중구,명동,중구 명동
19920619,영업,0,서울특별시 중구 신당동 153-30번지 ,서울특별시 중구 퇴계로90길 30 (신당동),로얄몬드,제과제빵,127.021820403631,37.564034632326496,중구,신당5동,중구 신당5동
20150805,영업,0,서울특별시 중구 신당동 377-151번지 2층 ,서울특별시 중구 다산로19길 49 (신당동 2층),(주) 커피집,제과제빵,127.00912644546499,37.5575709230007,중구,다산동,중구 다산동
20200416,영업,0,서울특별시 중구 을지로3가 282-8번지 을지로3가역 3호선 ,서울특별시 중구 을지로 지하 129 을지로3가역 3호선 지하2층 211호 (을지로3가),팜에이트 을지로3가점,제과제빵,126.99363182083599,37.566407988962496,중구,을지로동,중구 을지로동
20170228,영업,0,서울특별시 중구 초동 72-10번지 1층 ,서울특별시 중구 마른내로 28 (초동 1층),GS25 나인트리호텔점,제과제빵,126.99092434126,37.5643461525469,중구,을지로동,중구 을지로동
20170407,영업,0,서울특별시 중구 을지로6가 18-35번지 지하1층 160호 ,서울특별시 중구 장충단로 253 (을지로6가 지하1층 160호),콩툰 동대문점,제과제빵,127.00814277589899,37.5674925888475,중구,광희동,중구 광희동
19841002,영업,0,서울특별시 중구 남대문로4가 45번지 ,서울특별시 중구 세종대로 39 (남대문로4가),태평당,제과제빵,126.973858452822,37.56055275435449,중구,소공동,중구 소공동
20200414,영업,0,서울특별시 중구 인현동1가 57-2번지 ,서울특별시 중구 충무로4길 21 2층 (인현동1가),멈.칫,제과제빵,126.994078683722,37.565116884858,중구,을지로동,중구 을지로동
20080228,영업,0,서울특별시 중구 저동2가 78번지 외13필지 비즈센터 102호(지상1층) ,서울특별시 중구 수표로 45 (저동2가외13필지 비즈센터 102호(지상1층)),이디야 을지로3가점,제과제빵,126.989678454266,37.5654540953211,중구,을지로동,중구 을지로동
19841012,영업,0,서울특별시 중구 태평로2가 150-0번지 ,서울특별시 중구 세종대로 55 (태평로2가),궁과전,제과제빵,126.975077306231,37.5615529441435,중구,소공동,중구 소공동
