인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20190207,영업,0,서울특별시 은평구 응암동 419-100번지 2층 ,서울특별시 은평구 응암로22길 21 2층 (응암동),책있는카페 나눔,카페,126.92056391193,37.5936506406502,은평구,응암2동,은평구 응암2동
20190207,영업,0,서울특별시 은평구 진관동 100-3번지 아이파크포레스트게이트 B101호,서울특별시 은평구 통일로 1010 아이파크포레스트게이트 B101호 (진관동),카페 케일럽(CAFE CALEB),카페,126.918571397928,37.6327971461007,은평구,진관동,은평구 진관동
20190325,영업,0,서울특별시 은평구 불광동 170-185번지 1층 ,서울특별시 은평구 불광로 202 1층 (불광동),갤러리 찻집,카페,126.929816400612,37.6241114748246,은평구,불광2동,은평구 불광2동
20190311,영업,0,서울특별시 은평구 신사동 19-100번지 1층 나동 ,서울특별시 은평구 갈현로 1 나동 1층 (신사동),이디야 커피 신사동고개삼거리점,카페,126.90987585363001,37.598203870944,은평구,신사1동,은평구 신사1동
20190311,영업,0,서울특별시 은평구 녹번동 7번지 서울혁신파크 서울기록원 2층 ,서울특별시 은평구 통일로 684 서울혁신파크 서울기록원 2층 (녹번동),카페. 클림트,카페,126.93305917809401,37.608080544191296,은평구,녹번동,은평구 녹번동
20190328,영업,0,서울특별시 은평구 응암동 36 녹번역e편한세상캐슬아파트,서울특별시 은평구 은평로 220 B동 112호 (응암동 녹번역e편한세상캐슬아파트),플레이버 커피(Flavour coffee),카페,126.93263457914101,37.598801996217,은평구,응암1동,은평구 응암1동
20190513,영업,0,서울특별시 은평구 응암동 325-7번지 1층 ,서울특별시 은평구 가좌로 212-10 1층 (응암동),응암동 커피,카페,126.918678675159,37.5896393122867,은평구,응암3동,은평구 응암3동
20190619,영업,0,서울특별시 은평구 응암동 산 6-46번지 은평청소년수련관 1층 ,서울특별시 은평구 백련산로4길 16 은평청소년수련관 1층 (응암동),시립은평청소년센터 쉼카페,카페,126.924883994737,37.5942394739521,은평구,응암2동,은평구 응암2동
20190614,영업,0,서울특별시 은평구 신사동 4-20번지 1층 ,서울특별시 은평구 은평로 33-6 1층 (신사동),커피오름,카페,126.911449209537,37.5986593414183,은평구,신사1동,은평구 신사1동
20190523,영업,0,서울특별시 은평구 진관동 27번지 은평뉴타운 구파발 1층 1011동 상가106호,서울특별시 은평구 진관3로 15-45 1011동 1층 상가106호 (진관동 은평뉴타운 구파발),카페 블롱쉬,카페,126.916171226315,37.644291579271496,은평구,진관동,은평구 진관동
20190522,영업,0,서울특별시 은평구 응암동 669-1번지 대주피오레아파트 상가동 102호,서울특별시 은평구 백련산로 6 상가동 102호 (응암동 대주피오레아파트),독일유학원 즐거운 마켓,카페,126.92342266105699,37.586575957583605,은평구,응암2동,은평구 응암2동
20190603,영업,0,서울특별시 은평구 녹번동 48-5번지 은평소방서녹번119안전센터 1층 ,서울특별시 은평구 은평로 245 은평소방서녹번119안전센터 1층 (녹번동),EP The Cafe(이피더카페),카페,126.935076306367,37.6011992790343,은평구,녹번동,은평구 녹번동
20190501,영업,0,서울특별시 은평구 역촌동 49-16번지 1층2층 ,서울특별시 은평구 갈현로 104-1 1층2층 (역촌동),커피트리,카페,126.910884751569,37.6071723720353,은평구,역촌동,은평구 역촌동
20190528,영업,0,서울특별시 은평구 응암동 103-1번지 1층 ,서울특별시 은평구 응암로 328 1층 (응암동),COFFEE OREUM(커피오름),카페,126.92258200224899,37.600126683774,은평구,응암1동,은평구 응암1동
20190410,영업,0,서울특별시 은평구 응암동 591-19번지 2층 ,서울특별시 은평구 불광천길 338 2층 (응암동),카페 아사,카페,126.91410273662201,37.5891005212065,은평구,응암3동,은평구 응암3동
20190410,영업,0,서울특별시 은평구 대조동 38-19번지 D동 102호,서울특별시 은평구 진흥로 133 D동 102호 (대조동),안커피?,카페,126.924738169741,37.6081611249975,은평구,대조동,은평구 대조동
20190412,영업,0,서울특별시 은평구 대조동 198-10번지 대조동아트캐슬주상복합 102호103호104호201호202호 ,서울특별시 은평구 연서로 216 1층2층 102호103호104호201호202호 (대조동 대조동아트캐슬주상복합),공차 연신내점,카페,126.920133512812,37.617807957016296,은평구,대조동,은평구 대조동
20190527,영업,0,서울특별시 은평구 응암동 182-2번지 1층 102호,서울특별시 은평구 백련산로 151 1층 102호 (응암동),썬메일 베이커리 카페,카페,126.92544644559999,37.5986384694835,은평구,응암1동,은평구 응암1동
20190520,영업,0,서울특별시 은평구 역촌동 61-1번지 1층 ,서울특별시 은평구 역말로6길 14 1층 (역촌동),역촌동 카페,카페,126.914536955639,37.60454202110979,은평구,역촌동,은평구 역촌동
20150123,영업,0,서울특별시 은평구 진관동 140번지 은평뉴타운 폭포동 412동 상가106호 ,서울특별시 은평구 연서로44길 7 (진관동 은평뉴타운 폭포동 412동 상가106호),카페 21g,카페,126.934734508997,37.6379055990909,은평구,진관동,은평구 진관동
20150205,영업,0,서울특별시 은평구 불광동 13-22번지 1층 ,서울특별시 은평구 불광로 128 (불광동 1층),이디야 커피(독바위역점),카페,126.933303761826,37.61814706861279,은평구,불광1동,은평구 불광1동
