년,호선,역명,주소,Y좌표,X좌표,구,행정동
2020,5,여의도,서울특별시 영등포구 여의나루로 지하40,37.521842299999996,126.92448470000001,영등포구,여의동
2020,5,여의나루,서울특별시 영등포구 여의동로 지하343,37.52708516,126.932864,영등포구,여의동
2020,5,마포,서울특별시 마포구 마포대로 지하33,37.53958379,126.94592040000002,마포구,용강동
2020,5,공덕,서울특별시 마포구 마포대로 지하100,37.54452679,126.95136380000001,마포구,아현동
2020,5,애오개,서울특별시 마포구 마포대로 지하210,37.553362400000005,126.95661329999999,마포구,아현동
2020,5,충정로,서울특별시 서대문구 충정로 지하28-1,37.56099344,126.9633733,서대문구,충현동
2020,5,서대문,서울특별시 종로구 통일로 지하126,37.56585627,126.96663740000001,서대문구,충현동
2020,5,광화문,서울특별시 종로구 세종대로 지하172,37.57162282,126.97678799999998,종로구,사직동
2020,5,종로3가,서울특별시 종로구 돈화문로11길 지하26,37.57256956,126.99006170000001,종로구,종로1.2.3.4가동
2020,5,을지로4가,서울특별시 중구 창경궁로 지하51,37.56752502,126.99805959999999,중구,을지로동
2020,5,동대문역사문화공원,서울특별시 중구 마른내로 지하162,37.56457701,127.0059162,중구,광희동
2020,5,청구,서울특별시 중구 청구로 지하77,37.56029391,127.013806,중구,신당동
2020,5,신금호,서울특별시 성동구 금호로 지하154,37.55453249,127.02006409999998,성동구,금호2.3가동
2020,5,행당,서울특별시 성동구 행당로 지하89,37.55727844,127.02923200000001,성동구,행당2동
2020,5,왕십리,서울특별시 성동구 왕십리로 지하300,37.56122174,127.0366554,성동구,행당1동
2020,5,마장,서울특별시 성동구 마장로 지하296,37.56628278,127.04316340000001,성동구,마장동
2020,5,답십리,서울특별시 성동구 천호대로 지하300,37.56644583,127.05318100000001,성동구,용답동
2020,5,장한평,서울특별시 동대문구 천호대로 지하405,37.56150268,127.06442109999999,성동구,용답동
2020,5,군자,서울특별시 광진구 천호대로 지하550,37.55736319,127.07901729999999,광진구,중곡1동
2020,5,아차산,서울특별시 광진구 자양로 277,37.55080513,127.09110420000002,광진구,구의2동
2020,5,광나루,서울특별시 광진구 아차산로 지하571,37.54527866,127.1036865,광진구,광장동
2020,5,천호,서울특별시 강동구 천호대로 지하997,37.53857898,127.12374240000001,강동구,천호2동
2020,5,강동,서울특별시 강동구 천호대로 지하1097,37.53552051,127.13352959999999,강동구,성내2동
2020,5,길동,서울특별시 강동구 양재대로 지하1480,37.53781156,127.1399992,강동구,길동
2020,5,굽은다리,서울특별시 강동구 양재대로 지하1572,37.54573147,127.14297079999999,강동구,명일1동
2020,5,명일,서울특별시 강동구 양재대로 지하1632,37.55126028,127.14400090000001,강동구,명일1동
2020,5,고덕,서울특별시 강동구 고덕로 지하253,37.55504732,127.15394939999999,강동구,고덕1동
2020,5,상일동,서울특별시 강동구 고덕로 지하359,37.55666438,127.16582920000002,강동구,고덕2동
2020,5,둔촌동,서울특별시 강동구 양재대로 지하1369,37.52813554,127.1363753,강동구,성내3동
2020,5,올림픽공원,서울특별시 송파구 양재대로 지하1233,37.51608765,127.1306001,송파구,오륜동
2020,5,방이,서울특별시 송파구 양재대로 지하1127,37.50855645,127.1258547,송파구,방이1동
2020,5,개롱,서울특별시 송파구 오금로 지하402,37.49781466,127.13515859999998,송파구,가락2동
2020,5,거여,서울특별시 송파구 오금로 지하499,37.49320733,127.14403229999999,송파구,거여1동
2020,5,마천,서울특별시 송파구 마천로57길 지하7,37.49467062,127.1523206,송파구,마천1동
2020,5,오금,서울특별시 송파구 오금로 지하321,37.50226598,127.12787920000001,송파구,오금동
2020,6,응암,서울특별시 은평구 증산로 지하477,37.59874233,126.9155128,은평구,신사1동
2020,6,역촌,서울특별시 은평구 서오릉로 지하63,37.60603905,126.9229679,은평구,녹번동
2020,6,불광,서울특별시 은평구 통일로 지하723-1,37.61020726,126.9299858,은평구,대조동
2020,6,독바위,서울특별시 은평구 불광로 지하129-1,37.61839888,126.9328101,은평구,불광1동
2020,6,구산,서울특별시 은평구 연서로 지하137-1,37.61121222,126.9171824,은평구,구산동
2020,6,새절,서울특별시 은평구 증산로 지하400,37.59182705,126.91391200000001,은평구,신사2동
2020,6,증산,서울특별시 은평구 증산로 지하306,37.58419548,126.91005759999999,은평구,증산동
2020,6,디지털미디어시티,서울특별시 은평구 수색로 지하175,37.57716144,126.90192859999999,은평구,증산동
2020,6,월드컵경기장,서울특별시 마포구 월드컵로 지하240,37.56994257,126.89903329999999,마포구,성산2동
2020,6,마포구청,서울특별시 마포구 월드컵로 지하190,37.56342631,126.903357,마포구,성산2동
2020,6,망원,서울특별시 마포구 월드컵로 지하77,37.55605729,126.91003390000002,마포구,망원1동
2020,6,합정,서울특별시 마포구 양화로 지하45,37.54912268,126.9135446,마포구,합정동
2020,6,상수,서울특별시 마포구 독막로 지하85,37.54777167,126.92240990000002,마포구,서강동
2020,6,광흥창,서울특별시 마포구 독막로 지하165,37.54748607,126.9319392,마포구,서강동
2020,6,대흥,서울특별시 마포구 대흥로 지하85,37.54766835,126.9424653,마포구,대흥동
2020,6,공덕,서울특별시 마포구 백범로 지하200,37.54352692,126.9519476,마포구,공덕동
2020,6,효창공원앞,서울특별시 용산구 백범로 지하287,37.53933404,126.9613185,용산구,용문동
2020,6,삼각지,서울특별시 용산구 한강대로 지하185,37.53564505,126.9740805,용산구,한강로동
2020,6,녹사평,서울특별시 용산구 녹사평대로 지하195,37.53483142,126.9870285,용산구,이태원2동
2020,6,이태원,서울특별시 용산구 이태원로 지하177,37.53448328,126.9937217,용산구,이태원1동
2020,6,한강진,서울특별시 용산구 이태원로 지하287,37.54029515,127.0017483,용산구,한남동
2020,6,버티고개,서울특별시 중구 다산로 지하38,37.547995,127.0068852,중구,다산동
2020,6,약수,서울특별시 중구 다산로 지하115,37.55389144,127.01012050000001,중구,다산동
2020,6,신당,서울특별시 중구 다산로 지하260,37.56627389,127.01615349999999,중구,신당동
2020,6,동묘앞,서울특별시 종로구 지봉로 지하24,37.57220052,127.0156781,종로구,창신1동
2020,6,창신,서울특별시 종로구 지봉로 지하112,37.58001689,127.0152112,종로구,창신3동
2020,6,보문,서울특별시 성북구 보문로 지하116,37.58532772,127.01938700000001,성북구,보문동
2020,6,안암,서울특별시 성북구 인촌로 지하89,37.586252,127.02904199999999,성북구,안암동
2020,6,고려대,서울특별시 성북구 종암로 지하1,37.59064969,127.03628490000001,동대문구,제기동
2020,6,월곡,서울특별시 성북구 월곡로 지하107,37.60142105,127.0411848,성북구,월곡2동
2020,6,상월곡,서울특별시 성북구 화랑로 지하157,37.60626414,127.04832659999998,성북구,월곡2동
2020,6,돌곶이,서울특별시 성북구 화랑로 지하243,37.610550700000005,127.0564252,성북구,장위2동
2020,6,석계,서울특별시 노원구 화랑로 지하347-1,37.61504808,127.06611840000001,노원구,월계3동
2020,6,태릉입구,서울특별시 노원구 동일로 지하992-1,37.61790567,127.07499540000002,노원구,공릉1동
2020,6,화랑대,서울특별시 노원구 화랑로 지하510,37.61989439,127.0837446,노원구,공릉2동
2020,6,봉화산,서울특별시 중랑구 신내로 지하232,37.61765376,127.0907581,중랑구,신내2동
2020,6,청구,서울특별시 중구 청구로 지하77,37.56029391,127.013806,중구,신당동
2020,6,연신내,서울특별시 은평구 통일로 지하849,37.618961999999996,126.9211621,은평구,갈현1동
2020,7,도봉산,서울특별시 도봉구 도봉로 964-40,37.68912056,127.04652879999999,도봉구,도봉2동
2020,7,수락산,서울특별시 노원구 동일로 지하1662,37.67762594,127.05537460000001,노원구,상계1동
2020,7,마들,서울특별시 노원구 동일로 지하1530-1,37.66508643,127.0576877,노원구,상계8동
2020,7,노원,서울특별시 노원구 동일로 지하1409,37.65469472,127.06051740000001,노원구,상계2동
2020,7,중계,서울특별시 노원구 동일로 지하1308-1,37.64489068,127.0642467,노원구,중계2.3동
2020,7,하계,서울특별시 노원구 동일로 지하1196,37.63645212,127.0679885,노원구,하계2동
2020,7,공릉,서울특별시 노원구 동일로 지하1074,37.62547692,127.07300520000001,노원구,공릉1동
2020,7,태릉입구,서울특별시 노원구 동일로 지하992-1,37.61790567,127.07499540000002,노원구,공릉1동
2020,7,먹골,서울특별시 중랑구 동일로 지하901,37.61062506,127.07776480000001,중랑구,묵1동
2020,7,중화,서울특별시 중랑구 동일로 지하797,37.6015797,127.0794692,중랑구,중화2동
