기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	집단시설가구	집단시설가구	집단시설가구	집단시설가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수
기간	구분	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2017	양천구	164,193	452,111	222,503	229,608	162,045	441,565	214,848	226,717	19	183	96	87	26	876	347	529	2,103	3,595	1,781	1,814
2017	강서구	234,926	581,675	282,678	298,997	231,739	566,909	272,818	294,091	36	294	196	98	47	2,429	1,062	1,367	3,104	5,477	2,684	2,793
2017	구로구	172,346	436,869	218,428	218,441	156,110	390,815	191,782	199,033	44	367	234	133	44	3,086	1,433	1,653	16,148	36,196	19,641	16,555
2017	금천구	106,162	249,930	127,252	122,678	95,331	221,824	111,220	110,604	30	280	142	138	26	1,418	460	958	10,775	22,121	11,924	10,197
2017	영등포구	162,626	393,560	196,929	196,631	147,559	341,888	167,825	174,063	72	642	401	241	40	2,998	1,583	1,415	14,955	41,394	21,772	19,622
2017	동작구	166,520	400,236	195,253	204,983	160,062	376,846	182,456	194,390	50	445	187	258	24	5,549	2,586	2,963	6,384	12,236	5,688	6,548
2017	관악구	242,972	511,222	256,857	254,365	232,212	476,705	237,760	238,945	134	1,326	823	503	25	7,101	3,502	3,599	10,601	19,135	8,997	10,138
2017	서초구	157,978	414,550	198,241	216,309	155,513	402,857	191,139	211,718	44	391	235	156	20	2,471	671	1,800	2,401	3,866	1,855	2,011
2017	강남구	210,728	522,514	250,087	272,427	207,369	508,816	240,907	267,909	61	522	320	202	18	1,658	601	1,057	3,280	4,691	2,343	2,348
2017	송파구	241,411	633,953	307,723	326,230	237,516	615,834	295,858	319,976	43	348	215	133	24	3,698	1,616	2,082	3,828	6,507	3,246	3,261
2017	강동구	163,351	423,978	209,931	214,047	160,680	412,436	201,927	210,509	39	319	204	115	27	1,726	858	868	2,605	4,150	2,124	2,026
2018	합계	3,981,741	9,673,936	4,718,972	4,954,964	3,839,766	9,148,012	4,418,569	4,729,443	1,760	15,318	8,115	7,203	803	99,925	43,069	56,856	139,412	269,561	133,112	136,449
2018	종로구	68,180	157,967	77,147	80,820	63,773	139,871	67,611	72,260	70	578	356	222	53	5,854	2,992	2,862	4,284	7,723	3,365	4,358
2018	중구	57,318	129,797	62,975	66,822	53,102	115,016	55,653	59,363	73	647	373	274	32	3,115	1,107	2,008	4,111	7,846	3,592	4,254
2018	용산구	98,580	226,938	110,685	116,253	92,500	205,347	97,872	107,475	57	467	256	211	38	3,202	1,536	1,666	5,985	11,315	6,203	5,112
2018	성동구	128,602	306,796	150,623	156,173	123,963	290,667	141,052	149,615	59	503	244	259	19	3,174	1,868	1,306	4,561	7,719	3,642	4,077
2018	광진구	156,764	362,304	175,762	186,542	148,735	335,353	161,180	174,173	58	520	265	255	29	5,838	2,836	3,002	7,942	14,877	6,931	7,946
2018	동대문구	155,542	358,141	176,323	181,818	146,974	331,344	162,598	168,746	119	1,072	566	506	39	5,414	2,598	2,816	8,410	13,464	5,467	7,997
2018	중랑구	162,039	391,668	193,599	198,069	159,444	380,262	186,286	193,976	40	364	209	155	19	1,379	687	692	2,536	4,400	2,032	2,368
2018	성북구	177,489	438,734	211,204	227,530	171,943	413,679	198,555	215,124	111	1,020	471	549	72	8,572	3,167	5,405	5,363	8,447	3,573	4,874
2018	강북구	129,610	309,138	150,028	159,110	127,551	299,415	144,410	155,005	68	557	259	298	30	1,895	506	1,389	1,961	3,155	1,394	1,761
2018	도봉구	127,249	328,243	159,569	168,674	126,286	320,556	154,873	165,683	49	371	133	238	27	1,859	328	1,531	887	1,457	690	767
2018	노원구	203,647	534,096	258,737	275,359	202,326	516,758	247,829	268,929	75	587	220	367	36	7,602	3,440	4,162	1,210	2,021	958	1,063
2018	은평구	183,289	462,552	223,452	239,100	181,338	449,471	214,766	234,705	52	410	186	224	32	3,785	2,019	1,766	1,867	3,214	1,571	1,643
2018	서대문구	132,305	318,874	149,438	169,436	127,197	293,559	138,984	154,575	71	653	312	341	40	10,776	3,075	7,701	4,997	8,153	2,828	5,325
2018	마포구	159,850	368,181	174,194	193,987	154,940	350,007	164,506	185,501	83	705	357	348	23	3,893	1,752	2,141	4,804	7,776	3,033	4,743
2018	양천구	164,048	445,591	218,975	226,616	162,039	435,369	211,622	223,747	28	227	124	103	23	777	295	482	1,958	3,490	1,765	1,725
2018	강서구	238,901	578,539	280,629	297,910	235,754	563,772	270,885	292,887	46	367	202	165	43	2,343	1,051	1,292	3,058	5,485	2,670	2,815
2018	구로구	174,431	433,765	217,086	216,679	156,235	384,827	188,614	196,213	55	459	271	188	43	3,084	1,457	1,627	18,098	39,722	21,909	17,813
2018	금천구	108,167	249,344	127,278	122,066	96,298	219,601	110,172	109,429	48	417	230	187	29	1,587	590	997	11,792	24,137	13,263	10,874
2018	영등포구	166,047	395,286	198,031	197,255	149,831	341,561	167,419	174,142	99	956	584	372	39	3,134	1,717	1,417	16,078	43,848	23,509	20,339
2018	동작구	168,420	397,980	193,713	204,267	161,495	373,622	180,491	193,131	89	772	319	453	22	5,592	2,583	3,009	6,814	12,663	5,955	6,708
2018	관악구	247,871	510,303	255,687	254,616	236,761	475,013	236,331	238,682	187	1,815	1,101	714	24	7,115	3,546	3,569	10,899	19,679	9,258	10,421
2018	서초구	157,716	409,491	196,064	213,427	155,418	397,464	188,745	208,719	56	484	293	191	21	2,486	655	1,831	2,221	3,541	1,689	1,852
2018	강남구	206,323	507,810	243,579	264,231	203,083	493,298	233,838	259,460	69	606	349	257	22	1,796	703	1,093	3,149	4,459	2,250	2,209
2018	송파구	247,410	638,167	309,442	328,725	243,547	619,701	297,449	322,252	58	437	259	178	23	3,768	1,588	2,180	3,782	6,525	3,315	3,210
2018	강동구	161,943	414,231	204,752	209,479	159,233	402,479	196,828	205,651	40	324	176	148	25	1,885	973	912	2,645	4,445	2,250	2,195
2019	합계	4,043,957	9,639,541	4,690,440	4,949,101	3,896,389	9,096,901	4,386,287	4,710,614	1,587	14,042	7,630	6,412	741	103,809	43,200	60,609	145,240	272,049	133,019	139,030
