XÁÂÇ¥,YÁÂÇ¥,ÀÚÄ¡±¸,¹øÂ°,1ÀÎ °¡±¸ Á¡¼ö,2ÀÎ °¡±¸ Á¡¼ö,4ÀÎ °¡±¸ Á¡¼ö
127.11563258086599,37.6018408928316,Áß¶û±¸,4546,0.0,0.0,0
127.115584446615,37.60171818947849,Áß¶û±¸,4546,0.0,0.0,0
127.115383846012,37.6014041564377,Áß¶û±¸,4546,0.0,0.0,0
127.11529375059901,37.6012702221344,Áß¶û±¸,4546,0.0,0.0,0
127.115102388908,37.6009759021973,Áß¶û±¸,4546,0.0,0.0,0
127.114964233311,37.6007662772541,Áß¶û±¸,4546,0.0,0.0,0
127.114756452976,37.6006130303874,Áß¶û±¸,4546,0.0,0.0,0
127.11409999104099,37.60012853312021,Áß¶û±¸,4546,0.0,0.0,0
127.114081929151,37.6001209460504,Áß¶û±¸,4546,0.0,0.0,0
127.114022245496,37.599966430317004,Áß¶û±¸,4546,0.0,0.0,0
127.114040204569,37.5997929739738,Áß¶û±¸,4546,0.0,0.0,0
127.11406385826099,37.5995209626695,Áß¶û±¸,4546,0.0,0.0,0
127.11445843388,37.599059958188,Áß¶û±¸,4546,0.0,0.0,0
127.11447064421002,37.59905460367421,Áß¶û±¸,4546,0.0,0.0,0
127.115178845596,37.5980774743159,Áß¶û±¸,4545,0.0,0.0,0
127.115489239303,37.5976542804969,Áß¶û±¸,4545,0.0,0.0,0
127.115726697336,37.5973144883779,Áß¶û±¸,4545,0.0,0.0,0
127.116126468238,37.5966817276698,Áß¶û±¸,4545,0.0,0.0,0
127.116443135435,37.5961923569273,Áß¶û±¸,4545,0.0,0.0,0
127.11687748103901,37.5954970496503,Áß¶û±¸,4545,0.0,0.0,0
127.11675126062201,37.5946454550268,Áß¶û±¸,4545,0.0,0.0,0
127.11666448465799,37.5940165448871,Áß¶û±¸,4544,0.0,0.0,0
127.115690091091,37.59362528407,Áß¶û±¸,4544,0.0,0.0,0
127.115526872307,37.5935601204914,Áß¶û±¸,4544,0.0,0.0,0
127.11548545784201,37.59354860986979,Áß¶û±¸,4544,0.0,0.0,0
127.11541324676901,37.593530948203004,Áß¶û±¸,4544,0.0,0.0,0
127.11518180721201,37.5935103315289,Áß¶û±¸,4544,0.0,0.0,0
127.11502820280701,37.5934902071987,Áß¶û±¸,4544,0.0,0.0,0
127.114454006538,37.5934330409271,Áß¶û±¸,4544,0.0,0.0,0
127.11426838580601,37.5934160456199,Áß¶û±¸,4544,0.0,0.0,0
127.11366534728701,37.593356362281604,Áß¶û±¸,4544,0.0,0.0,0
127.11333736871201,37.5932598176493,Áß¶û±¸,4469,0.0,0.0,0
127.113094557668,37.592856857055395,Áß¶û±¸,4469,0.0,0.0,0
127.112685082854,37.5921989663739,Áß¶û±¸,4469,0.0,0.0,0
