구분,노선명,공동주택명,계약종별,가로등분전함위치
저압,갈현동길-03,"(갈현동,주찬양교회앞)",가로등(을),"서울특별시 은평구 갈현로 220  (갈현동,주찬양교회앞)"
저압,갈현동길-06,"(갈현동,갈현중앙교회앞)",가로등(을),"서울특별시 은평구 갈현로 221  (갈현동,갈현중앙교회앞)"
저압,갈현동길-02,"(구산동,연희빌라앞)",가로등(을),"서울특별시 은평구 갈현로 132  (구산동,연희빌라앞)"
저압,갈현동길-07,"(구산동,예일빌라앞)",가로등(을),"서울특별시 은평구 갈현로 127  (구산동,예일빌라앞)"
저압,갈현동길-01,"(신사동,화사랑앞)",가로등(을),"서울특별시 은평구 갈현로 40  (신사동,화사랑앞)"
저압,갈현동길-08,"(신사동,영광부동산앞)",가로등(을),"서울특별시 은평구 갈현로 27  (신사동,영광부동산앞)"
저압,통일로-19,(대조동),가로등(을),서울특별시 은평구 통일로 825  (대조동)
저압,통일로-17,(갈현동),가로등(을),서울특별시 은평구 통일로 923-1  (갈현동)
저압,통일로-04,(불광동),가로등(을),서울특별시 은평구 통일로 732  (불광동)
저압,통일로-21,"(대조동,제일쇼핑)",가로등(을),"서울특별시 은평구 통일로 지하723-1  (대조동,제일쇼핑)"
저압,통일로-05,"(불광동,은평중앙교회앞)",가로등(을),"서울특별시 은평구 통일로 760  (불광동,은평중앙교회앞)"
저압,통일로-20,(대조동),가로등(을),서울특별시 은평구 통일로 755  (대조동)
저압,구립도서관,(불광동),가로등(을),서울특별시 은평구 통일로78가길 13-84   토목과(불광동)
저압,증산로-02,(신사동),가로등(을),서울특별시 은평구 증산로 383   토목과(신사동)
저압,은평로-09,(응암동),가로등(을),서울특별시 은평구 은평로 144  (응암동)
저압,통일로-23,(녹번동),가로등(을),서울특별시 은평구 통일로 590  (녹번동)
저압,통일로-24,(응암동),가로등(을),서울특별시 은평구 통일로 595  (응암동)
저압,통일로-01,(녹번동),가로등(을),서울특별시 은평구 통일로 650  (녹번동)
저압,통일로-02,"(녹번동,통일로-2 큰나무교회 앞)",가로등(을),"서울특별시 은평구 통일로 668  (녹번동,통일로-2 큰나무교회 앞)"
저압,통일로-03,(녹번동),가로등(을),서울특별시 은평구 진흥로 200  (녹번동)
저압,통일로-22,(녹번동),가로등(을),서울특별시 은평구 통일로 683  (녹번동)
저압,역말길-05,(역촌동),가로등(을),서울특별시 은평구 역말로 24  (역촌동)
저압,역말길-04,(역촌동),가로등(을),서울특별시 은평구 역말로 23  (역촌동)
저압,역말길-03,"(역촌동,역말길-3)",가로등(을),"서울특별시 은평구 역말로 73  (역촌동,역말길-3)"
저압,역말길-02,(대조동),가로등(을),서울특별시 은평구 역말로 117  (대조동)
