노선명,구 간,노폭(m),설치년도,조도(lx),경간(m),형태,선로배전방식,등주타입,본수,광원
장충단로,오간수교 ~ 광희5거리,35,2001,15,40,B,4선로,SR11-28SR,3,LED125(W)
장충단로,오간수교 ~ 광희5거리,35,2001,15,40,B,4선로,SE12-25RY,2,LED125(W)
장충단로,오간수교 ~ 광희5거리,35,2007,15,40,B,4선로,SR12-25SR,2,LED125(W)
장충단로,오간수교 ~ 광희5거리,35,2013,15,40,B,4선로,R10-25R,33,LED125(W)
장충단로,오간수교 ~ 광희5거리,35,2013,15,40,B,4선로,R11-25R(통),4,LED125(W)
장충단로,오간수교 ~ 광희5거리,35,2001,15,40,B,4선로,SE10-25R,1,LED100(W)
장충단로,오간수교 ~ 광희5거리,35,2001,15,40,B,4선로,SE12-25RY,1,LED100(W)
장충단로,광희5거리~장충체육관,30,1997,20,30,D,4선로,SE14-28QY ⑻,2,LED125(W)
장충단로,광희5거리~장충체육관,30,2005,20,30,,4선로,SR12-18RY ⑷,1,LED120(W)
장충단로,광희5거리~장충체육관,30,2005,22,30,B,4선로,SR10-25SRY ⑶,2,LED100(W)
장충단로,광희5거리~장충체육관,30,2005,22,30,B,4선로,SR10-25SRY,5,LED100(W)
장충단로,광희5거리~장충체육관,30,2005,22,30,B,4선로,SR10-25SR,35,LED100(W)
장충단로,광희5거리~장충체육관,30,2005,22,30,B,4선로,SR10-25SRY ⑶,2,LED100(W)
장충단로,광희5거리~장충체육관,30,2005,22,30,B,4선로,SR10-25SRY,2,LED100(W)
장충단로,장충체육관~구경계,30,1997,20,30,B,4선로,SR10-0.5S(4),1,MH200(W)
장충단로,장충체육관~구경계,30,2005,22,30,B,4선로,SR10-25SR,65,LED100(W)
장충단로,장충체육관~구경계,30,2005,22,30,B,4선로,SR10-25SRY ⑶,1,LED100(W)
장충단로,장충체육관~구경계,30,2005,22,30,B,4선로,SR10-25SRY,16,LED100(W)
장충단로,중부수도사업소~구경계,30,2016,22,30,B,4선로,SR10-25SR,9,LED100(W)
장충단로,중부수도사업소~구경계,30,2016,22,30,B,4선로,SR10-25SRY,8,LED100(W)
창경궁로,충무로5가 ~ 배오개교,25,2005,22,25,B,4선로,SC10-20R,9,CDM250(W)
창경궁로,충무로5가 ~ 배오개교,25,2005,15,25,B,4선로,AR08-20R,4,CDM150(W)
창경궁로,충무로5가 ~ 배오개교,25,2005,22,25,B,4선로,SR10-25R,17,LED90(W)
창경궁로,충무로5가 ~ 배오개교,25,2010,22,25,B,4선로,R12-25R(통),2,LED90(W)
창경궁로,충무로5가 ~ 배오개교,25,2005,22,25,B,4선로,SR10-25RY,8,LED90(W)
청계천로,청계광장 ~ 황학교 (청계8가) ,10,2005,15,25,B,4선로,AR08-20R,61,CDM150(W)
청계천로,청계광장 ~ 황학교 (청계8가) ,10,2019,15,25,B,4선로,AR08-20R,68,LED100(W)
청계천로,청계광장 ~ 황학교 (청계8가) ,10,2019,15,25,B,4선로,R08-20RY,3,LED100(W)
청계천로,청계광장 ~ 황학교 (청계8가) ,10,2005,15,25,B,4선로,AR08-20RY,3,CDM150(W)
청계천로,청계광장 ~ 황학교 (청계8가) ,10,2005,15,25,B,4선로,AR08-20R(통합폴),14,CDM150(W)
청계천로,청계광장 ~ 황학교 (청계8가) ,10,2005,15,25,B,4선로,AR08-20RY(통합풀),11,CDM150(W)
청파로,상수도본부~서부역,35,2017,22,40,B,4선로,R10-20R,29,LED100(W)
청파로,상수도본부~서부역,35,2019,22,40,B,4선로,R10-20R,17,LED100(W)
청파로,상수도본부~서부역,35,2019,22,40,B,4선로,SR10-20RY,2,LED100(W)
청파로,상수도본부~서부역,35,2019,22,40,B,4선로,SR10-20RY,1,LED100(W)
청파로,상수도본부~서부역,35,2017,22,40,B,4선로,SR10-20RY⑶,1,LED100(W)
청파로,상수도본부~서부역,35,2017,15,40,B,4선로,SE10-25Q,2,LED100(W)
충무로,관수교~을지로3가역,25,2005,22,40,B,4선로,SC09-20R,8,MH200(W)
충무로,관수교~을지로3가역,25,2005,10,30,B,4선로,AR08-20R,4,CDM150(W)
충무로,을지로3가역~충무로역,25,2009,22,28,B,4선로,R10-25R,19,CDM250(W)
충무로,을지로3가역~충무로역,25,2009,22,28,B,4선로,R10-25RY,9,CDM250(W)
충무로,을지로3가역~충무로역,25,2009,22,30,B,4선로,R10-25RY(통),1,CDM250(W)
칠패로,상공회의소 ~서소문공원,25,2008,22,20,B,4선로,AR05-10R,4,MH200(W)
칠패로,상공회의소 ~서소문공원,25,2006,22,30,C,3선로,SR10-20R,8,CDM250(W)
칠패로,상공회의소 ~서소문공원,25,2007,22,30,C,3선로,SE10-25Q,14,CDM250(W)
칠패로,상공회의소 ~서소문공원,25,2007,22,30,C,4선로,SE12-25QY,1,CDM250(W)
통일로,서울역~서대문R,40,1997,15,30,D,3선로,SE15-28RY ⑿,1,LED120(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28Q,12,LED125(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28Q,26,LED100(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY,2,LED100(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY,3,LED125(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-20RY(2),1,LED120W
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY ⑶,3,LED120W
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY ⑶,4,LED125(W)
통일로,서울역~서대문R,40,2005,15,30,B,4선로,SE12-28QY ⑷,1,LED125(W)
통일로,서울로~용산구계(하행방향),17.5,2018,21,26,A,4선로,R9-1.5RY,15,LED75(W)
통일로,서울로~용산구계(하행방향),17.5,2018,21,26,A,5선로,R9-1.5R(4등용),2,LED75(W)
통일로,서울로~용산구계(하행방향),17.5,2018,21,26,A,6선로,신호등통합,,LED75(W)
통일로,서울로~용산구계(하행방향),40,2005,22,30,B,4선로,SE12-28Q,17,LED120(W)
통일로,서울로~용산구계(하행방향),40,2005,22,30,B,4선로,SE12-28QY,4,LED120(W)
퇴계로,서울역 ~ 우리은행본점,35,2019,22,25,B,3선로,E10 -25Q,3,CDM250(W)
퇴계로,서울역 ~ 우리은행본점,35,2019,15,30,B,3선로,SR4.0RY,,
퇴계로,서울역 ~ 우리은행본점,35,2019,22,25,B,4선로,SE10-25Q,12,LED150(W)
퇴계로,서울로초입~우리은행본점,35,2018,22,25,B,4선로,R10-25R,48,LED100(W)
퇴계로,서울로초입~우리은행본점,35,2001,22,25,A,4선로,SE10-25QY,1,LED150(W)
퇴계로,서울로초입~우리은행본점,35,2009,22,30,C,4선로,SE10-25QY(통),1,MH200(W)
퇴계로,서울로초입~우리은행본점,35,2019,22,30,C,4선로,SE10-25QY(통),1,LED100(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2019,22,25,A,4선로,SR12-28Q,27,CDM250(W)
퇴계로,대연각빌딩 ~ 퇴계로4가,35,2019,22,25,A,4선로,SR12-28Q,16,LED100(W)
퇴계로,(대연각 빌딩~밀레오레쇼핑 좌측),35,2018,22,25,A,4선로,R10-2.5R,20,LED100(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2004,22,25,A,4선로,SR12-28QY,3,MH200(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2004,22,25,A,4선로,SR12-28QY ⑶,2,MH200(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2009,22,30,C,4선로,SR12-28R(통),1,MH200(W)
퇴계로,대연각빌딩 ~ 퇴계로3가,35,2009,22,30,C,4선로,SR12-28RY(통),1,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2009,22,30,C,4선로,SR12-28R(통),2,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2009,22,30,C,4선로,SR12-28RY(통),2,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2004,22,25,B,4선로,SR12-18RY ⑷,1,MH200(W)
퇴계로,퇴계로3가~퇴계로4가,35,2004,22,25,A,4선로,SR12-28Q,33,CDM250(W)
퇴계로,퇴계로3가~퇴계로4가,35,2004,22,25,A,4선로,SR12-28QY,1,CDM250(W)
퇴계로,퇴계로4가~퇴계로5가,35,2004,22,25,A,4선로,SR12-28Q,22,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2004,22,25,A,4선로,SR12-28QY,2,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2004,22,25,A,4선로,SR12-28QY ⑶,1,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2009,22,30,B,4선로,SR10-28R(통),3,LED100(W)
퇴계로,퇴계로4가~퇴계로5가,35,2009,22,30,C,4선로,SR12-28RY(통),2,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-28R,48,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-28RY,8,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-28R ⑶,1,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2005,22,25,B,4선로,SR12-18RY ⑷,1,MH200(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2009,22,25,B,4선로,SR12-18RY (통),2,LED100(W)
퇴계로,쌍림빌딩 ~ 한양공고,35,2013,20,20,B,4선로,DR10-20R,2,CDM200(W)
퇴계로,한양공고~도로교통안전회관,30,2006,22,30,A,4선로,SC12-28SR,56,LED100(W)
퇴계로,한양공고~도로교통안전회관,30,2006,22,30,A,4선로,SC12-28SRY,10,LED100(W)
퇴계로,한양공고~도로교통안전회관,30,2006,22,30,A,4선로,SC12-SRY ⑶,3,LED100(W)
후암로,남대문경찰서~후암동삼거리,25,2009,22,30,C,4선로,E10-25SR,10,LED100(W)
후암로,남대문경찰서~후암동삼거리,25,2009,22,30,C,4선로,E10-25SRY,1,LED100(W)
난계로21길,롯데캐슬~영도교 이면도로,6,2008,20,25,C,4선로,R08-25R,16,LED60(W)
남대문로10길,경기빌딩~한화B/D 주변도로,12,2010,20,20,C,6선로,AR05,9,CDM150(W)
남대문로10길,경기빌딩~한화B/D 주변도로,12,2010,20,20,C,6선로,AR05,7,CDM200(W)
남대문로10길,경기빌딩~한화B/D 주변도로,12,2008,22,25,C,3선로,R08-25R,6,CDM200(W)
남대문로1길,북창길~소공동사무소,12,2009,22,25,C,3선로,R07-1.5R,12,LED50(W)
남대문로7길,조선호텔~영프라자,15,2007,22,35,C,3선로,R10-25R,6,LED120(W)
남대문로9길,시청뒤~하나은행본점,12,2005,22,25,B,4선로,C05R,15,LED75(W)
남대문로9길,시청뒤~하나은행본점,12,2011,22,25,B,4선로,AR05,14,LED50(W)
남대문시장길,남대문쇼핑몰(매사앞),10,2000,22,20,C,3선로,SR08-0.3SR,5,LED60(W)
다동길,효령빌딩 옆이면도로,12,2006,22,20,B,4선로,C5.5Y,19,MH200(W)
다산로36길,밀알성교회~푸리지오APT,10,2007,20,30,C,4선로,R06,13,LED60(W)
다산로36길,밀알성교회~푸리지오APT,10,2011,22,27,C,4선로,R07-20R,5,LED50(W)
다산로36길,밀알성교회~푸리지오APT,10,2011,22,27,C,4선로,R08-20R,25,CDM200(W)
다산로44길,율원치안센타~신당5동주민센타,10,2009,20,25,C,4선로,R08,23,LED50(W)
다산로44길,카센타~다산공원 주변 도로,10,2010,20,25,C,4선로,R08,42,LED50(W)
대현길,삼성(래미안)~대경중학교,6,1998,22,25,C,3선로,SR05,14,MH200(W)
덕수궁길,시청별관~시네마 정동,6,1998,20,20,C,3선로,C3.6RY,3,MH200(W)
덕수궁길,시청별관~시네마 정동,8,2005,22,20,C,4선로,AR4.5,30,CDM150(W)
덕수궁길,시청별관~덕수초교,8,2006,20,25,C,4선로,AR4.5,5,CDM150(W)
덕수궁길,시청별관~덕수초교,8,2006,20,25,C,4선로,AR4.5,6,CDM250(W)
덕수궁길,시청별관~덕수초교,8,2006,20,25,C,4선로,AR4.5Y,1,CDM150(W)
동대입구,장충리틀야구장이면도로,16,2005,22,20,C,4선로,SR10-25SR,5,LED100(W)
동호로10길,하이츠APT이면도로,16,2005,22,30,B,4선로,SR07-25SR,8,LED100(W)
동호로5길,서울방송고등학교~쌈지공원 이면,2,2017,20,20,C,3선로,AR05,5,LED50(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,1998,20,20,C,3선로,SR05,26,LED50(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,2001,20,30,B,4선로,SE09-20R,18,LED60(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,2001,20,30,B,4선로,SE09-20RY,1,LED60(W)
동호로5길,청소련수련관 ~타워APT이면도로,20,2005,20,20,C,4선로,SR10-25SR,8,LED80(W)
마장로1길,광희패션몰 주변 이면도로,12,2009,22,30,C,4선로,R10-25R,8,LED75(W)
마장로1길,광희패션몰 주변 이면도로,12,2010,22,25,C,4선로,AR05,8,LED50(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,SR09-20Q,7,LED100(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,SR09-20QY,2,LED100(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,한전주,2,LED80(W)
마장로9길,영도교~중앙시장뒤,15,2004,22,15,B,4선로,SR09-20Q,5,LED80(W)
명동11길,동양증권~ 명동성당,12,2008,20,25,C,3선로,AR05,8,LED50(W)
명동2길,아바타쇼핑몰~중앙우체국,8,2008,22,30,C,3선로,R06,6,LED50(W)
명동6길,사보이H/T~명동파출소,8,2008,20,30,C,3선로,R06,20,LED50(W)
명동8가길,지산빌딩~하이헤리엇빌딩,15,2010,22,30,C,3선로,AR05,18,LED50(W)
명동8길,을지로입구~퇴계로,15,2009,20,30,C,3선로,R05,19,LED50(W)
명동8나길,하이헤리엇빌딩~중앙우체국,15,2008,22,30,C,3선로,AR05,9,LED50(W)
명동9가길,명동파출소~SK네트웍B/D,10,2008,20,30,C,3선로,R05,6,LED50(W)
