기간	자치구	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	자치구	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2017	합계	160	45,057	13,484,498	550,179	25,734	64,248,566	48,554,365	22,662,045	2,449	697	1,752	163,396
2017	종로구	6	2,323	1,160,477	50,857	2,352	3,944,560	2,380,202	1,152,055	153	48	105	11,305
2017	중구	5	699	526,971	22,771	660	1,735,704	1,445,876	505,604	93	19	74	5,326
2017	용산구	4	2,129	853,811	35,185	1,573	2,230,197	1,453,499	570,530	93	24	69	25,429
2017	성동구	6	1,691	479,499	22,873	527	3,069,923	2,747,798	765,903	99	25	74	4,496
2017	광진구	4	1,346	337,735	8,673	534	2,064,770	1,890,313	1,481,168	48	17	31	2,967
2017	동대문구	4	1,280	428,589	22,919	1,323	1,896,366	1,237,370	648,625	96	36	60	4,596
2017	중랑구	3	1,001	341,732	14,091	302	2,277,121	1,751,705	542,438	48	10	38	2,783
2017	성북구	10	1,491	577,308	27,349	749	1,532,752	953,998	745,227	113	30	83	4,867
2017	강북구	7	1,835	413,532	14,168	281	1,998,217	1,426,002	535,411	82	34	48	3,445
2017	도봉구	7	2,031	609,326	28,437	952	1,536,583	1,028,850	763,840	90	30	60	4,920
