인허가일자,상세영업상태명,폐업일자,주소,사업장명,업태구분명
20040611,영업,29991231,서울특별시 종로구 운니동 114-7번지 운현초등학교유치원평생교육원양관 ,운현초등학교,학교
20040831,영업,29991231,서울특별시 종로구 명륜3가 53-21번지 성균관대학교 ,성균관대학교(법학관식당),학교
19980725,영업,29991231,서울특별시 종로구 창성동 67-0번지 0000동 0000호,청와대부속청사,공공기관
19780716,영업,29991231,서울특별시 종로구 연건동 28-21번지 서울대학교병원 ,서울대학교병원,병원
19821001,영업,29991231,서울특별시 종로구 경운동 2번지 서울교동초등학교 ,서울교동초등학교,학교
20131206,영업,29991231,서울특별시 종로구 혜화동 22-65번지 지하1층 ,(주)재능교육,산업체
20040906,영업,29991231,서울특별시 종로구 연건동 275-1번지 ,서울대학교치과병원,병원
20040906,영업,29991231,서울특별시 종로구 홍지동 7-1번지 외26필지(지상5층) ,상명대학교밀레니엄관,학교
20050204,영업,29991231,서울특별시 종로구 인의동 48-57번지 ,흥인복지회,사회복지시설
20050308,영업,29991231,서울특별시 종로구 청운동 123번지 지상1층 ,서울청운초등학교,학교
20050322,영업,29991231,서울특별시 종로구 창신동 128-32번지 창신초등학교 ,서울창신초등학교,학교
20050603,영업,29991231,서울특별시 종로구 수송동 85번지 로얄팰리스스위트 지하2층 ,썸머셋팰래스,산업체
20050622,영업,29991231,서울특별시 종로구 구기동 151번지 지하2층 ,하비에르국제학교,학교
20050705,영업,29991231,서울특별시 종로구 동숭동 50-135번지 ,동숭어린이집,어린이집
20150902,영업,29991231,서울특별시 종로구 세종로 77-6번지 ,서울청사 푸르미 어린이집,어린이집
19841101,영업,29991231,서울특별시 종로구 계동 140-2번지 ,현대자동차(주),산업체
19870603,영업,29991231,서울특별시 종로구 연지동 263-0번지 5층호,삼양사구내식당,산업체
19871221,영업,29991231,서울특별시 종로구 평동 164-0번지 ,서울적십자병원,병원
20050708,영업,29991231,서울특별시 종로구 도렴동 32번지 1층호,종교교회어린이집,어린이집
20050713,영업,29991231,서울특별시 종로구 행촌동 1-69번지 상록수 어린이집 ,상록수어린이집,어린이집
20050714,영업,29991231,서울특별시 종로구 무악동 79번지 무악어린이집 ,무악어린이집,어린이집
19980928,영업,29991231,서울특별시 종로구 청운동 89-9번지 지하1층 ,경복고등학교,학교
20050706,영업,29991231,서울특별시 종로구 숭인동 55-2번지 ,숭인어린이집,어린이집
20050707,영업,29991231,서울특별시 종로구 창신동 산 6-25번지 아동회관 어린이집 ,종로아동회관어린이집,어린이집
20131129,영업,29991231,서울특별시 종로구 익선동 34-3번지 지하1층 ,(주)앰배스텔 이비스앰배서더 인사동,산업체
20131202,영업,29991231,서울특별시 종로구 혜화동 6-32번지 1층 ,만나 어린이집,어린이집
20090908,영업,29991231,서울특별시 종로구 필운동 278-4번지 세종유치원 ,세종유치원,어린이집
20091027,영업,29991231,서울특별시 종로구 신문로1가 116번지 지하6층 ,세안홀딩스(주) 직원식당,산업체
20140930,영업,29991231,서울특별시 종로구 종로3가 160번지 지상1층 ,천사무료급식소,사회복지시설
20141103,영업,29991231,서울특별시 종로구 무악동 60-2번지 지상3층 ,종로노인종합복지관 무악센터,사회복지시설
20100719,영업,29991231,서울특별시 종로구 혜화동 5-55번지 혜성교회 ,한아름유치원,어린이집
20100917,영업,29991231,서울특별시 종로구 신문로2가 92번지 LG광화문 빌딩 지하2층 ,LG광화문 빌딩,산업체
20100930,영업,29991231,서울특별시 종로구 숭인동 1368번지 3층 ,고려학원,산업체
20101001,영업,29991231,서울특별시 종로구 적선동 66번지 노스게이트 빌딩 지하1층 ,김장 법률사무소,산업체
20110414,영업,29991231,서울특별시 종로구 창성동 117-1번지 (지상1층) ,서울지방경찰청 202경비단,공공기관
20140610,영업,29991231,서울특별시 종로구 평창동 186-18번지 지상1층 ,종로생명숲어린이집,어린이집
20101004,영업,29991231,서울특별시 종로구 필운동 12번지 ,배화여자중학교,학교
20110311,영업,29991231,서울특별시 종로구 효제동 255-22번지 (3층) ,서울중부교육지원청,공공기관
20150415,영업,29991231,서울특별시 종로구 명륜1가 1-43번지 1층 ,구립명륜어린이집,어린이집
20150708,영업,29991231,서울특별시 종로구 수송동 104번지 서울지방국세청 15층 ,서울 지방 국세청,공공기관
20150727,영업,29991231,서울특별시 종로구 당주동 29번지 지하3층 ,포시즌스호텔서울,산업체
20111123,영업,29991231,서울특별시 종로구 숭인동 200-16번지 ,(주)케이티스,산업체
20120320,영업,29991231,서울특별시 종로구 평창동 553-5번지 ,평창동시니어센터,사회복지시설
20120524,영업,29991231,서울특별시 종로구 평창동 158-1번지 글로리아타운 5층 ,로이병원,병원
20130201,영업,29991231,서울특별시 종로구 숭인동 48-2번지 1층 ,청룡유치원,어린이집
