데이터,호선,구,2017년,2018년,2019년
지하철역,공항철도,서대문구,0,0,0
지하철역,공항철도,중구,0,0,0
지하철역,공항철도,광진구,0,0,0
지하철역,공항철도,성동구,0,0,0
지하철역,공항철도,용산구,1,1,1
지하철역,공항철도,동대문구,0,0,0
지하철역,공항철도,중랑구,0,0,0
지하철역,공항철도,성북구,0,0,0
지하철역,공항철도,노원구,0,0,0
지하철역,공항철도,강북구,0,0,0
지하철역,공항철도,도봉구,0,0,0
지하철역,공항철도,관악구,0,0,0
지하철역,공항철도,은평구,0,0,0
지하철역,공항철도,마포구,3,3,3
지하철역,공항철도,양천구,0,0,0
지하철역,공항철도,구로구,0,0,0
지하철역,공항철도,강서구,1,1,1
지하철역,공항철도,강남구,0,0,0
지하철역,공항철도,금천구,0,0,0
지하철역,공항철도,영등포구,0,0,0
지하철역,공항철도,동작구,0,0,0
지하철역,공항철도,서초구,0,0,0
지하철역,공항철도,송파구,0,0,0
지하철역,공항철도,강동구,0,0,0
지하철역,분당선,종로구,0,0,0
지하철역,분당선,서대문구,0,0,0
지하철역,분당선,중구,0,0,0
지하철역,분당선,광진구,0,0,0
지하철역,분당선,성동구,2,2,2
지하철역,분당선,용산구,0,0,0
지하철역,분당선,동대문구,0,0,0
지하철역,분당선,중랑구,0,0,0
지하철역,분당선,성북구,0,0,0
지하철역,분당선,노원구,0,0,0
지하철역,분당선,강북구,0,0,0
지하철역,분당선,도봉구,0,0,0
지하철역,분당선,관악구,0,0,0
지하철역,분당선,은평구,0,0,0
지하철역,분당선,마포구,0,0,0
지하철역,분당선,양천구,0,0,0
지하철역,분당선,구로구,0,0,0
지하철역,분당선,강서구,0,0,0
지하철역,분당선,강남구,10,10,10
지하철역,분당선,금천구,0,0,0
지하철역,분당선,영등포구,0,0,0
지하철역,분당선,동작구,0,0,0
지하철역,분당선,서초구,0,0,0
지하철역,분당선,송파구,1,1,1
지하철역,분당선,강동구,0,0,0
지하철역,신분당선,종로구,0,0,0
지하철역,신분당선,서대문구,0,0,0
지하철역,신분당선,중구,0,0,0
지하철역,신분당선,광진구,0,0,0
지하철역,신분당선,성동구,0,0,0
지하철역,신분당선,용산구,0,0,0
지하철역,신분당선,동대문구,0,0,0
지하철역,신분당선,중랑구,0,0,0
지하철역,신분당선,성북구,0,0,0
지하철역,신분당선,노원구,0,0,0
지하철역,신분당선,강북구,0,0,0
지하철역,신분당선,도봉구,0,0,0
지하철역,신분당선,관악구,0,0,0
지하철역,신분당선,은평구,0,0,0
지하철역,신분당선,마포구,0,0,0
지하철역,신분당선,양천구,0,0,0
지하철역,신분당선,구로구,0,0,0
지하철역,신분당선,강서구,0,0,0
지하철역,신분당선,강남구,1,1,1
지하철역,신분당선,금천구,0,0,0
지하철역,신분당선,영등포구,0,0,0
지하철역,신분당선,동작구,0,0,0
지하철역,신분당선,서초구,3,3,3
지하철역,신분당선,송파구,0,0,0
지하철역,신분당선,강동구,0,0,0
지하철역,우이신설,종로구,0,0,0
지하철역,우이신설,서대문구,0,0,0
지하철역,우이신설,중구,0,0,0
지하철역,우이신설,광진구,0,0,0
지하철역,우이신설,성동구,0,0,0
지하철역,우이신설,용산구,0,0,0
지하철역,우이신설,동대문구,1,1,1
지하철역,우이신설,중랑구,0,0,0
지하철역,우이신설,성북구,4,4,4
지하철역,우이신설,노원구,0,0,0
지하철역,우이신설,강북구,8,8,8
지하철역,우이신설,도봉구,0,0,0
지하철역,우이신설,관악구,0,0,0
지하철역,우이신설,은평구,0,0,0
지하철역,우이신설,마포구,0,0,0
지하철역,우이신설,양천구,0,0,0
지하철역,우이신설,구로구,0,0,0
지하철역,우이신설,강서구,0,0,0
지하철역,우이신설,강남구,0,0,0
지하철역,우이신설,금천구,0,0,0
지하철역,우이신설,영등포구,0,0,0
지하철역,우이신설,동작구,0,0,0
지하철역,우이신설,서초구,0,0,0
지하철역,우이신설,송파구,0,0,0
지하철역,우이신설,강동구,0,0,0
지하철역,중앙선,종로구,0,0,0
지하철역,중앙선,서대문구,0,0,0
지하철역,중앙선,중구,0,0,0
지하철역,중앙선,광진구,0,0,0
지하철역,중앙선,성동구,3,3,3
지하철역,중앙선,용산구,4,4,4
지하철역,중앙선,동대문구,2,2,2
지하철역,중앙선,중랑구,4,4,4
지하철역,중앙선,성북구,0,0,0
지하철역,중앙선,노원구,0,0,0
지하철역,중앙선,강북구,0,0,0
지하철역,중앙선,도봉구,0,0,0
지하철역,중앙선,관악구,0,0,0
지하철역,중앙선,은평구,0,0,0
지하철역,중앙선,마포구,0,0,0
지하철역,중앙선,양천구,0,0,0
지하철역,중앙선,구로구,0,0,0
지하철역,중앙선,강서구,0,0,0
지하철역,중앙선,강남구,0,0,0
지하철역,중앙선,금천구,0,0,0
지하철역,중앙선,영등포구,0,0,0
지하철역,중앙선,동작구,0,0,0
지하철역,중앙선,서초구,0,0,0
지하철역,중앙선,송파구,0,0,0
지하철역,중앙선,강동구,0,0,0
