년,인허가일자,상세영업상태명,폐업일자,업태구분명,사업장명,주소,경도,위도
2017,20040629,영업,0,어린이집,수서서머힐어린이집,서울특별시 강남구 수서동 712-0번지 지상2층 ,127.1035521,37.4894614
2017,20040629,영업,0,어린이집,구립바롬어린이집,서울특별시 강남구 신사동 647-6번지 지하1층 ,127.03633740000001,37.52531077
2017,20040629,영업,0,어린이집,청수어린이집,서울특별시 강남구 청담동 124-1번지 지상3층 ,127.0492203,37.52505349
2017,20040629,영업,0,어린이집,강남선재어린이집,서울특별시 강남구 대치동 916-23번지 지상1층 ,127.0563341,37.50145885
2017,20040630,영업,0,어린이집,중앙어린이집,서울특별시 광진구 자양동 615-28번지 ,127.0780685,37.53295541
2017,20040630,영업,0,어린이집,성심어린이집,서울특별시 광진구 중곡동 134-25번지 ,127.0849645,37.55658884
2017,20040630,영업,0,어린이집,강남어린이집,서울특별시 강남구 개포동 12-0번지 지상1층 ,127.07519140000001,37.49417567
2017,20040630,영업,0,어린이집,민들레어린이집,서울특별시 강남구 수서동 723-0번지 지상1층 ,127.10512209999999,37.48730378
2017,20040630,영업,0,어린이집,성아어린이집,서울특별시 강남구 도곡동 515-15번지 ,127.04358470000001,37.48408011
2017,20040630,영업,0,어린이집,선우어린이집,서울특별시 강남구 도곡동 548-1번지 ,127.03849270000002,37.4907453
2017,20040630,영업,0,어린이집,자양4동어린이집,서울특별시 광진구 자양동 5-7번지 ,127.0683723,37.53909607
2017,20040630,영업,0,어린이집,중곡1동어린이집,서울특별시 광진구 중곡동 258-17번지 ,127.07960190000001,37.56091333
2017,20040702,영업,0,어린이집,군자어린이집,서울특별시 광진구 군자동 117-10번지 ,127.07266670000001,37.55458329
2017,20040702,영업,0,어린이집,명화어린이집,서울특별시 강남구 수서동 707-0번지 지상1층 ,127.10015359999998,37.49112373
2017,20040702,영업,0,어린이집,솔로몬어린이집,서울특별시 광진구 중곡동 191-36번지 ,127.080652,37.56656692
2017,20040702,영업,0,어린이집,신사어린이집,서울특별시 강남구 신사동 543-5번지 지하1층 ,127.02401100000002,37.51999188
