X좌표(경도),Y좌표(위도),백화점 개수,버스정류장 개수,병원 개수,영화관 개수,제과제빵 개수,지하철 개수,카페 개수,편의점 개수,음식점 개수,어린이집_유치원 개수,초중고등학교 개수,대학교 개수
126.76835,37.64165,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.64574999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.64985,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.653949999999995,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.65805,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.66215,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.66624999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.67035,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.67444999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.67855,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.682649999999995,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.686749999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.69085,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.69494999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.69905,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.703149999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.70725,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.711349999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.71545,0,0,0,0,0,0,0,0,0.0,0,0,0
126.77425000000001,37.412049999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.77425000000001,37.41615,0,0,0,0,0,0,0,0,0.0,0,0,0
126.77425000000001,37.420249999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.77425000000001,37.42435,0,0,0,0,0,0,0,0,0.0,0,0,0
126.77425000000001,37.42845,0,0,0,0,0,0,0,0,0.0,0,0,0
126.77425000000001,37.43254999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
