인허가일자,영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
19900416,영업/정상,0,서울특별시 중구 흥인동 183-0번지 ,0,신당식당,한식
19960228,영업/정상,0,서울특별시 중구 회현동2가 9-3번지 ,0,남산옥,한식
19960308,영업/정상,0,서울특별시 중구 충무로4가 128-0번지 ,0,한끼한잔,한식
19980403,영업/정상,0,서울특별시 중구 을지로4가 311-1번지 ,0,을지로김밥운동,분식
19921012,영업/정상,0,서울특별시 중구 중림동 877-0번지 외 2필지(880882) ,0,중림분식,한식
19880329,영업/정상,0,서울특별시 중구 순화동 1-57번지 ,0,금란,한식
19900111,영업/정상,0,서울특별시 중구 순화동 36-2번지 ,0,구성옥,한식
20000214,영업/정상,0,서울특별시 중구 순화동 198-0번지 1층 ,0,금덕식당,한식
20050805,영업/정상,0,서울특별시 중구 충무로1가 52-20번지 (지상10층) ,0,와라이,일식
19931209,영업/정상,0,서울특별시 중구 순화동 4-2번지 ,0,해영,한식
19951109,영업/정상,0,서울특별시 중구 필동2가 24-0번지 ,0,필동가,한식
20010823,영업/정상,0,서울특별시 중구 회현동1가 202번지 지상5층 566호 ,0,구내매점,분식
20010823,영업/정상,0,서울특별시 중구 순화동 1-109번지 지상 1층 ,0,고창식당,한식
19940125,영업/정상,0,서울특별시 중구 필동3가 3-19번지 ,0,필동분식,분식
20060524,영업/정상,0,서울특별시 중구 회현동2가 10-14번지 (지상12층) ,0,블루베리힐,경양식
19950411,영업/정상,0,서울특별시 중구 을지로4가 261-0번지 ,0,나랑스넥,분식
19940504,영업/정상,0,서울특별시 중구 순화동 3-3번지 ,0,명성,한식
19930104,영업/정상,0,서울특별시 중구 순화동 154-4번지 ,0,동진식당,한식
19920826,영업/정상,0,서울특별시 중구 충무로4가 153-1번지 ,0,보은집,한식
19931221,영업/정상,0,서울특별시 중구 충무로3가 49-2번지 ,0,마린보이,일식
19950719,영업/정상,0,서울특별시 중구 충무로4가 127-1번지 ,0,원주추어탕,한식
20080421,영업/정상,0,서울특별시 중구 필동3가 40-2번지 (지상1층) ,0,한바다,한식
19921008,영업/정상,0,서울특별시 중구 순화동 1-64번지 ,0,신조,일식
19890731,영업/정상,0,서울특별시 중구 충무로3가 25-7번지 ,0,치어스,경양식
19931229,영업/정상,0,서울특별시 중구 회현동2가 5-2번지 ,0,삼보,한식
19760930,영업/정상,0,서울특별시 중구 남창동 169-1번지 ,0,재회집,한식
19960705,영업/정상,0,서울특별시 중구 신당동 44-4번지 ,0,통돌이가마솥통닭구이,분식
19910430,영업/정상,0,서울특별시 중구 순화동 3-23번지 ,0,강남집,한식
