,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도
183,서울도봉초등학교,1966-09-05,서울특별시 도봉구 도봉동 429-1,서울특별시 도봉구 도봉로173길 96,37.6799605,127.0382892
184,서울방학초등학교,1982-10-07,서울특별시 도봉구 방학동 302,서울특별시 도봉구 도당로9길 34,37.663931899999994,127.03275009999999
185,서울신방학초등학교,1986-04-24,서울특별시 도봉구 방학동 310,서울특별시 도봉구 시루봉로 173,37.6666827,127.02892040000002
186,서울창도초등학교,1982-10-07,서울특별시 도봉구 방학동 722-9,서울특별시 도봉구 방학로 32-28,37.6641354,127.04878529999999
187,서울숭미초등학교,1983-11-03,서울특별시 도봉구 쌍문동 309-3,서울특별시 도봉구 노해로 179,37.6510239,127.0279443
188,서울쌍문초등학교,1972-08-12,서울특별시 도봉구 쌍문동 360-4,서울특별시 도봉구 우이천로 360,37.648365000000005,127.0242900321
189,서울백운초등학교,1980-08-27,서울특별시 도봉구 쌍문동 422-2,서울특별시 도봉구 삼양로146길 17,37.652640999999996,127.013671
190,서울월천초등학교,1989-05-11,서울특별시 도봉구 창동 29,서울특별시 도봉구 노해로70길 96,37.6480462,127.05175259999999
191,서울자운초등학교,1997-06-11,서울특별시 도봉구 창동 181-19,서울특별시 도봉구 마들로13길 166,37.6580096,127.04668240000001
192,서울가인초등학교,2004-05-14,서울특별시 도봉구 창동 224-20,서울특별시 도봉구 도봉로136다길 4,37.659467,127.04295249999998
193,서울창동초등학교,1930-04-01,서울특별시 도봉구 창동 266,서울특별시 도봉구 해등로16길 81,37.6553614,127.04483130000001
194,서울창원초등학교,1990-11-30,서울특별시 도봉구 창동 308,서울특별시 도봉구 해등로 103,37.6526458,127.03997949999999
195,서울창일초등학교,1990-07-16,서울특별시 도봉구 창동 371,서울특별시 도봉구 노해로66길 84,37.64765870000001,127.0476085
196,서울신창초등학교,1975-05-12,서울특별시 도봉구 창동 468-1,서울특별시 도봉구 덕릉로60길 93,37.6365919,127.0420828
197,서울신화초등학교,1984-10-30,서울특별시 도봉구 창동 504-33,서울특별시 도봉구 우이천로 120,37.633195,127.0408845
198,동북초등학교,1964-09-15,서울특별시 도봉구 쌍문동 263,서울특별시 도봉구 시루봉로 53,37.656347100000005,127.02687649999999
199,한신초등학교,1969-05-06,서울특별시 도봉구 쌍문동 150-1,서울특별시 도봉구 노해로49길 69,37.6533545,127.03242820000001
200,서울신계초등학교,1982-10-21,서울특별시 노원구 월계동 602,서울특별시 노원구 초안산로 29,37.62979179999999,127.0527686
