유형,전체 기관명,도로명 주소,행정 구,행정 동,위도,경도
동,서울특별시 관악구 서림동주민센터,서울특별시 관악구 신림로29길 6,관악구,서림동,37.4749954230145,126.93499932541599
동,서울특별시 관악구 서원동주민센터,서울특별시 관악구 신림로 282,관악구,서원동,37.479772189719796,126.93137657318998
동,서울특별시 관악구 성현동주민센터,서울특별시 관악구 구암길 38,관악구,성현동,37.4895300997269,126.948159271304
동,서울특별시 성북구 안암동주민센터,서울특별시 성북구 안암동 인촌로 16,성북구,안암동,37.589104275303704,127.019962344258
동,서울특별시 강동구 둔촌1동주민센터,서울시 강동구 천호대로186길 7,강동구,둔촌1동,37.5333445191523,127.14194763522801
동,서울특별시 양천구 목2동주민센터,서울특별시 양천구 목2동 목동중앙본로 120,양천구,신정6동,37.5461428198986,126.87170091299801
동,서울특별시 양천구 신정3동주민센터,서울특별시 양천구 신정동 중앙로 209,양천구,신정6동,37.5151500255785,126.854790847031
동,서울특별시 양천구 신정6동주민센터,서울특별시 양천구 신정동 목동서로 353,양천구,신월6동,37.5170600294244,126.86439078245
동,서울특별시 강서구 등촌2동주민센터,서울특별시 강서구 등촌동 등촌로 143,강서구,등촌2동,37.542658312276295,126.862503144891
동,서울특별시 관악구 청룡동주민센터,서울특별시 관악구 쏙고개로 44,관악구,청룡동,37.4789504527874,126.94171266782499
