인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표
20180201,영업,0,서울특별시 용산구 한남동 745-13번지 지하1층 ,서울특별시 용산구 이태원로45길 16 지하1층 (한남동),파온(PAON),카페,126.998715243252,37.5364108581532
20151104,영업,0,서울특별시 용산구 한남동 683-68번지 지상1층 ,서울특별시 용산구 이태원로42길 36 지상1층 (한남동),510파인애비뉴,카페,127.000570586249,37.536163268805
20161122,영업,0,서울특별시 용산구 한남동 683-16번지 ,서울특별시 용산구 이태원로54가길 25 1층 (한남동),카페쿠자쿠자,카페,127.001388740098,37.5365983551892
20140220,영업,0,서울특별시 용산구 이태원동 325-3번지 1층 ,서울특별시 용산구 녹사평대로46길 37 1층 (이태원동),타이거에스프레소,카페,126.988652079627,37.5377142477701
20150210,영업,0,서울특별시 용산구 이태원동 64-24번지 지상1층 ,서울특별시 용산구 보광로59길 50 지상1층 (이태원동),토프레소,카페,126.991252969763,37.5339222474428
20150910,영업,0,서울특별시 용산구 한강로3가 16-9번지 지상5층 ,서울특별시 용산구 청파로 74 지상5층 (한강로3가 용산전자랜드),핸즈온캠퍼스,카페,126.959727441368,37.532814501207
20161128,영업,0,서울특별시 용산구 한강로3가 16-9,서울특별시 용산구 청파로 74 2층 219호 (한강로3가),CASA BEAN(카사빈),카페,126.959727441368,37.532814501207
20140319,영업,0,서울특별시 용산구 이촌동 301-26번지 1층 ,서울특별시 용산구 이촌로77길 19 1층 (이촌동),이디야커피,카페,126.975192031089,37.520699384235
20160516,영업,0,서울특별시 용산구 이촌동 203-1번지 ,서울특별시 용산구 이촌로 60 2층 (이촌동),(주)씨포캐익팩토리,카페,126.955698930184,37.5264439690471
20160524,영업,0,서울특별시 용산구 이태원동 87-6번지 ,서울특별시 용산구 녹사평대로26가길 1 (이태원동),프렌치앤틱(French Antique),카페,126.992081139086,37.5319855139491
20141031,영업,0,서울특별시 용산구 문배동 33-3번지 2층 ,서울특별시 용산구 백범로90길 46 2층 (문배동),스트라다 커피랩,카페,126.970183358882,37.5366667693745
20151126,영업,0,서울특별시 용산구 용산동2가 1-1621번지 지상1층 ,서울특별시 용산구 소월로20길 52 지상1층 (용산동2가),마고이어라,카페,126.984547435965,37.5444203742875
20151127,영업,0,서울특별시 용산구 갈월동 69-109번지 지상1층 ,서울특별시 용산구 한강대로 313 지상1층 (갈월동),카페여행박사,카페,126.971548092969,37.5462493285732
20151229,영업,0,서울특별시 용산구 청파동2가 64-8번지 지상1층 ,서울특별시 용산구 청파로47길 73 지상1층 (청파동2가),더카페엔숙대정문점,카페,126.966315770107,37.5448655489772
20151229,영업,0,서울특별시 용산구 청파동2가 8-28번지 지상1층 ,서울특별시 용산구 청파로47나길 31 지상1층 (청파동2가),베이글팩토리,카페,126.967353700595,37.5463050063801
20180529,영업,0,서울특별시 용산구 효창동 5-52번지 2층 ,서울특별시 용산구 효창원로 150 2층 (효창동),틴틴플레이키즈,카페,126.962276679152,37.5413761983328
20180607,영업,0,서울특별시 용산구 동자동 56번지 트윈시티 남산 지하1층 108호 ,서울특별시 용산구 한강대로 366 트윈시티 남산 지하1층 108호 (동자동),웨일즈커피트윈시티점,카페,126.972783927831,37.5508614716888
20150506,영업,0,서울특별시 용산구 청파동2가 64-18번지 지상1층 ,서울특별시 용산구 청파로47길 67 지상1층 (청파동2가),샐러디숙명여대점,카페,126.966585324003,37.5448362529868
20151116,영업,0,서울특별시 용산구 청파동3가 111-27번지 지상12층 ,서울특별시 용산구 청파로47길 61 지상12층 (청파동3가),더벤티코리아,카페,126.967012546912,37.5447135669106
20160601,영업,0,서울특별시 용산구 후암동 244-79번지 하남리치빌 101호,서울특별시 용산구 후암로28길 38 1층 101호 (후암동 하남리치빌),쓰리팝,카페,126.979303645365,37.5493197445005
20160620,영업,0,서울특별시 용산구 한강로3가 40-878번지 ,서울특별시 용산구 이촌로29길 8-9 1층 (한강로3가),커피로만(coffe Roman),카페,126.960018896755,37.5241071394511
20160627,영업,0,서울특별시 용산구 갈월동 101-49번지 1동 108호,서울특별시 용산구 한강대로 259 제1층 108호 (갈월동 에이트리움-고려),구카페(9CAFE),카페,126.972452961403,37.5415127190529
20151202,영업,0,서울특별시 용산구 이태원동 278-12번지 지상1층 ,서울특별시 용산구 회나무로 23 지상1층 (이태원동),마리웨일마카롱경리단길점,카페,126.989171863115,37.5393606041908
20180323,영업,0,서울특별시 용산구 청파동3가 29-2번지 지상1층 ,서울특별시 용산구 청파로45길 17 지상1층 (청파동3가),카페쿠바노,카페,126.969583321781,37.5442596128455
20180327,영업,0,서울특별시 용산구 원효로1가 48-8번지 1층 ,서울특별시 용산구 원효로89길 13-12 1층 (원효로1가),오츠커피,카페,126.967758745923,37.5404142931161
20180427,영업,0,서울특별시 용산구 청파동2가 64-13번지 외 1필지 1층 ,서울특별시 용산구 청파로47길 71 1층 (청파동2가),디어파인(dear fine),카페,126.966446021152,37.5448500888737
20180430,영업,0,서울특별시 용산구 후암동 185-14번지 1층 ,서울특별시 용산구 두텁바위로1나길 7 1층 (후암동),르카페랩,카페,126.976007773136,37.5467486614584
20180521,영업,0,서울특별시 용산구 한남동 745-2번지 1층 ,서울특별시 용산구 이태원로55나길 7 1층 (한남동),한남작업실,카페,126.998756312885,37.5365223123608
20180524,영업,0,서울특별시 용산구 한강로2가 71번지 1층 108호 ,서울특별시 용산구 한강대로40길 43 1층 108호 (한강로2가),레가(Rega),카페,126.971697981358,37.5302101185327
20150430,영업,0,서울특별시 용산구 한남동 707-18번지 지상11층 ,서울특별시 용산구 한남대로 72 지상11층 (한남동),요벨,카페,127.007012576266,37.5350756442577
20160429,영업,0,서울특별시 용산구 한강로3가 40-961번지 ,서울특별시 용산구 한강대로23길 55 7층 006호 (한강로3가),엔제리너스,카페,126.965313001208,37.5316072204116
20160509,영업,0,서울특별시 용산구 한남동 683-138번지 ,서울특별시 용산구 이태원로 256 2층 (한남동),시화담카페,카페,127.001275268855,37.5373651979691
20160509,영업,0,서울특별시 용산구 용산동2가 1-103번지 ,서울특별시 용산구 소월로20길 50 지하1층.1층 (용산동2가),올드타운,카페,126.984731071547,37.5445072545095
20160218,영업,0,서울특별시 용산구 갈월동 59-13번지 1층 ,서울특별시 용산구 두텁바위로 7 1층 (갈월동),오!스쿠터(oh! scooter),카페,126.973014819872,37.545434809295
20141126,영업,0,서울특별시 용산구 한강로3가 40-999번지 지상6층 ,서울특별시 용산구 한강대로23길 55 지상6층 (한강로3가),앤티앤스(용산아이파크몰점),카페,126.964300393659,37.5297680649234
20160226,영업,0,서울특별시 용산구 한강로2가 15-14번지 2층 21동 2102호,서울특별시 용산구 새창로 181 21동 2층 2102호 (한강로2가),거리에서,카페,126.965078826903,37.5330203716884
20170518,영업,0,서울특별시 용산구 한남동 641-2번지 지상1층 ,서울특별시 용산구 대사관로 68 지상1층 (한남동),배스킨라빈스 한남점,카페,127.005494744124,37.5331980387497
20170518,영업,0,서울특별시 용산구 한남동 683-72번지 지상1층 ,서울특별시 용산구 이태원로42길 40 지상1층 (한남동),앤드하리 한남,카페,127.000746979663,37.5363227449242
20140723,영업,0,서울특별시 용산구 용산동6가 69-167번지 ,서울특별시 용산구 이촌로 지하 352 지하1층 106호 (용산동6가),더치즈케이크,카페,126.98521148517,37.5172565284532
20150917,영업,0,서울특별시 용산구 한남동 739-6번지 지상2층 ,서울특별시 용산구 이태원로 257 지상2층 (한남동),벨포트,카페,127.000903815481,37.5377818239717
20140728,영업,0,서울특별시 용산구 한남동 657-92번지 ,서울특별시 용산구 대사관로 69 1층 (한남동),더카페(The caffe),카페,127.005882488654,37.5333848876867
20140731,영업,0,서울특별시 용산구 원효로2가 90-1번지 1층 ,서울특별시 용산구 새창로 132 1층 (원효로2가),빽다방,카페,126.96126749061,37.5356600165819
20160406,영업,0,서울특별시 용산구 한강로3가 40-999번지 ,서울특별시 용산구 한강대로23길 55 지상8층 (한강로3가),아이파크문화센터,카페,126.964300393659,37.5297680649234
20160411,영업,0,서울특별시 용산구 한남동 30-1번지 ,서울특별시 용산구 한남대로18길 34 1층 (한남동),르보(lebo),카페,127.009141430745,37.5347803308001
20140804,영업,0,서울특별시 용산구 동자동 35-44번지 ,서울특별시 용산구 후암로57길 35-15 1층 (동자동),동자희망나눔센터,카페,126.974406976353,37.55213936002
20140812,영업,0,서울특별시 용산구 한강로3가 40-602번지 ,서울특별시 용산구 한강대로11길 4 12층 (한강로3가),시애틀 에스프레소,카페,126.963379417852,37.5250322071164
20140813,영업,0,서울특별시 용산구 갈월동 7-190번지 ,서울특별시 용산구 한강대로98길 9 지하1층 (갈월동),빈스밀,카페,126.972576297432,37.5483086245552
20150224,영업,0,서울특별시 용산구 한강로3가 16-49번지 지하1층 ,서울특별시 용산구 청파로 40 지하1층 (한강로3가),까로치아용산점,카페,126.956218665723,37.5318320623331
20161228,영업,0,서울특별시 용산구 이태원동 2-5번지 ,서울특별시 용산구 회나무로 83 1층 (이태원동),23홈즈,카페,126.995500757998,37.5409698404859
20151007,영업,0,서울특별시 용산구 한남동 633-3번지 지상1층 1213호,서울특별시 용산구 대사관로 72 지상1층 1213호 (한남동),이디야커피순천향병원점,카페,127.005937900637,37.5330490818242
20091103,영업,0,서울특별시 용산구 한강로2가 252-1번지 (지상12층) ,서울특별시 용산구 한강대로 137-1 (한강로2가(지상12층)),마고가이아,카페,126.970092739357,37.5318262094581
20150511,영업,0,서울특별시 용산구 이태원동 64-56번지 지상1층 ,서울특별시 용산구 이태원로20길 2-12 (이태원동),쁘띠베네,카페,126.991507987022,37.5339412771756
20150408,영업,0,서울특별시 용산구 이태원동 260-54번지 지하1층 ,서울특별시 용산구 소월로40길 53 지하1층 (이태원동),프랭크타운,카페,126.991822094606,37.5419680408855
20150420,영업,0,서울특별시 용산구 이태원동 292-3번지 지상1층 ,서울특별시 용산구 녹사평대로46길 45 지상1층 (이태원동),굿애프터눈,카페,126.988952099815,37.5380156608297
20150423,영업,0,서울특별시 용산구 후암동 41-1번지 지하1층 ,서울특별시 용산구 두텁바위로69길 29 지하1층 (후암동),아베크엘카페,카페,126.979409115303,37.5509615623008
20180618,영업,0,서울특별시 용산구 이태원동 260-135번지 지하1층 ,서울특별시 용산구 회나무로13길 52-22 지하1층 (이태원동),보케,카페,126.990791335012,37.5414471871514
20180328,영업,0,서울특별시 용산구 한강로3가 40-999번지 용산역 리빙관3층 ,서울특별시 용산구 한강대로23길 55 용산역 리빙관 3층 (한강로3가),할리스커피용산아이파크몰영풍문고점,카페,126.964300393659,37.5297680649234
20150302,영업,0,서울특별시 용산구 원효로1가 39-13번지 지상1층 ,서울특별시 용산구 원효로 257 지상1층 (원효로1가),이디야,카페,126.96921704835,37.5406478610377
20141103,영업,0,서울특별시 용산구 한강로3가 16-18번지 ,서울특별시 용산구 청파로 56 1층 (한강로3가),페르마타,카페,126.957496261873,37.532349613615
20141107,영업,0,서울특별시 용산구 한남동 683-14번지 지하1층 ,서울특별시 용산구 이태원로54길 40 지하1층 (한남동),삼바존코리아,카페,127.001533453981,37.536676380044
20170419,영업,0,서울특별시 용산구 이촌동 203-69번지 ,서울특별시 용산구 이촌로18길 21-6 2층 214호 (이촌동),베러베러,카페,126.95481538324,37.525702650223
20141021,영업,0,서울특별시 용산구 한남동 683-61번지 ,서울특별시 용산구 대사관로5길 34 1층 (한남동),드플로허,카페,127.000275617878,37.5357781821948
20141022,영업,0,서울특별시 용산구 원효로1가 112-4번지 지상1층 101호,서울특별시 용산구 원효로 268 지상1층 101호 (원효로1가),카페맑음,카페,126.970338023346,37.5409632275783
20160822,영업,0,서울특별시 용산구 이촌동 300-301번지 ,서울특별시 용산구 이촌로 264 상가동 지하층 제2호 (이촌동),땡큐그린,카페,126.97603798549,37.5184622780656
20160627,영업,0,서울특별시 용산구 한강로3가 40-999번지 ,서울특별시 용산구 한강대로23길 55 지하1층 B104호 (한강로3가 동관),곰브라더스용산아이파크몰점,카페,126.964300393659,37.5297680649234
20160322,영업,0,서울특별시 용산구 용산동1가 8번지 ,서울특별시 용산구 이태원로 29 지상1층 (용산동1가 전쟁기념관어린이박물관),어린이박물관카페도담도담,카페,126.977114499758,37.5363183673747
20160324,영업,0,서울특별시 용산구 한남동 714번지 ,서울특별시 용산구 한남대로 98 지하1층 (한남동 일신빌딩),벨로마노한남점,카페,127.005579216363,37.5371751421714
20170530,영업,0,서울특별시 용산구 동자동 14-125번지 ,서울특별시 용산구 한강대로104길 6 2층 (동자동),CAFE마린블루,카페,126.972271308195,37.5501850630432
20180710,영업,0,서울특별시 용산구 효창동 3-118번지 지상1층 ,서울특별시 용산구 임정로11길 4 지상1층 (효창동),오늘은커피,카페,126.958564814453,37.5430550482038
20180320,영업,0,서울특별시 용산구 한강로3가 40-999번지 현대아이파크몰 패션파크 지상5층 ,서울특별시 용산구 한강대로23길 55 현대아이파크몰 용산 패션파크 5층 (한강로3가),올모스트홈카페,카페,126.964300393659,37.5297680649234
20181015,영업,0,서울특별시 용산구 한강로2가 422번지 래미안용산 더 센트럴 지하1층 B113호,서울특별시 용산구 한강대로 95 지하1층 B113호 (한강로2가 래미안용산 더 센트럴),하니앤손스,카페,126.966972245302,37.5291046239838
20140409,영업,0,서울특별시 용산구 청파동1가 161번지 외2필지 1층 ,서울특별시 용산구 청파로 319 1층 (청파동1가),코나카페,카페,126.969710983967,37.5484010875975
20140415,영업,0,서울특별시 용산구 동자동 12번지 게이트타워 2층 201호 ,서울특별시 용산구 후암로 107 2층 201호 (동자동 게이트타워),탐앤탐스 서울역점,카페,126.973551540948,37.5534084975294
20140319,영업,0,서울특별시 용산구 한강로2가 45-1번지 시가이아팰리스 1층 102호 ,서울특별시 용산구 한강대로52길 22 1층 102호 (한강로2가 시가이아팰리스),파비욘드갤러리카페,카페,126.972105904414,37.5318432805374
20150615,영업,0,서울특별시 용산구 한남동 657-24번지 지하1층 ,서울특별시 용산구 대사관로11길 31 지하1층 (한남동),친절한커피집,카페,127.001652108808,37.5351233236483
20150619,영업,0,서울특별시 용산구 한강로1가 116-6번지 지상1~3층 ,서울특별시 용산구 이태원로 4 지상123층 (한강로1가),텐티북스,카페,126.974525182216,37.535008503057
20180222,영업,0,서울특별시 용산구 한강로2가 424번지 아모레퍼시픽 2층 204 206호 ,서울특별시 용산구 한강대로 100 아모레퍼시픽 2층 204 206호 (한강로2가),이니스프리그린카페신사옥점,카페,126.968617425948,37.5288520713448
20180226,영업,0,서울특별시 용산구 한강로2가 420번지 용산푸르지오써밋 지상12층 상가동 111 213 214 215호 ,서울특별시 용산구 한강대로 69 지상12층 상가동 111 213 214 215호 (한강로2가 용산푸르지오써밋),스타벅스용산역써밋R점,카페,126.965305052351,37.5272737608749
20180306,영업,0,서울특별시 용산구 신창동 31-2번지 ,서울특별시 용산구 원효로35길 49 1층 (신창동),로스터리카페나무,카페,126.955497256269,37.5351426107203
20180619,영업,0,서울특별시 용산구 보광동 390-2번지 지상1층 ,서울특별시 용산구 장문로17길 3 지상1층 (보광동),문랜딩,카페,126.997296327277,37.5261700529579
